hour,engine,machinery-impact,non-machinery-impact,powered-saw,alert-signal,music,human-voice,dog
0,1063,0,0,0,0,0,21,294
1,889,10,10,3,10,0,30,322
2,884,0,14,0,14,0,29,297
3,870,3,0,3,3,0,21,326
4,879,3,0,3,0,0,12,307
5,948,0,0,3,0,0,9,365
6,979,0,0,0,9,0,24,327
7,2331,3,3,12,60,0,266,973
8,3247,27,24,32,67,12,282,1194
9,3328,3,11,15,29,0,207,1241
10,2973,24,21,42,66,9,200,1172
11,3180,21,9,21,34,6,127,1151
12,2918,12,33,6,45,3,126,938
13,3122,0,3,9,30,0,126,906
14,2850,18,3,27,36,3,117,780
15,2439,8,11,0,11,0,47,595
16,2143,0,0,3,3,0,38,419
17,1957,0,0,0,0,0,0,342
18,1932,0,0,0,0,0,6,370
19,1799,0,0,6,0,0,3,353
20,1881,0,0,0,0,0,0,356
21,1411,0,0,3,0,0,6,271
22,1313,0,0,3,0,0,6,332
23,1150,0,0,0,0,0,0,287
