week,engine,machinery-impact,non-machinery-impact,powered-saw,alert-signal,music,human-voice,dog
1,765,3,0,3,13,0,40,186
2,1333,15,0,15,15,0,33,396
3,1470,3,0,3,0,0,46,554
4,1287,0,0,6,0,0,18,333
5,1314,6,12,8,26,3,68,422
6,1372,3,3,6,18,0,69,428
7,801,0,0,6,6,0,41,276
8,659,0,0,3,9,0,30,194
9,504,0,0,6,3,0,9,120
10,475,0,0,6,0,0,15,132
11,513,3,6,3,6,3,22,148
12,612,3,3,3,3,0,15,155
13,954,3,3,0,18,3,66,320
14,604,0,0,3,0,0,3,125
15,772,0,0,0,0,0,6,179
16,701,0,3,0,3,0,27,214
17,807,0,0,3,0,0,12,235
18,887,3,0,3,0,0,9,264
19,847,3,3,6,3,3,27,211
20,780,0,0,0,9,0,33,197
21,725,0,0,3,0,0,27,170
22,819,15,0,15,15,0,21,242
23,714,6,6,6,6,6,15,240
24,878,3,3,0,9,0,33,272
25,762,10,13,0,22,0,73,259
26,813,3,0,9,9,0,30,201
27,780,0,0,0,0,0,12,250
28,937,6,6,12,6,6,36,249
29,900,6,9,9,15,6,54,269
30,873,0,0,3,21,0,33,293
31,795,0,3,6,15,0,60,290
32,920,3,6,6,9,0,84,330
33,810,0,0,0,0,0,44,202
34,934,6,6,3,24,3,42,325
35,866,0,0,6,9,0,18,217
36,728,0,14,0,17,0,23,213
37,967,0,15,3,18,0,43,249
38,847,0,0,3,9,0,27,202
39,774,0,0,0,0,0,18,225
40,904,3,0,3,3,0,9,197
41,873,0,0,3,0,0,39,234
42,1063,0,8,0,11,0,26,293
43,1087,0,0,0,0,0,12,331
44,1134,0,0,0,0,0,24,386
45,1163,15,9,9,21,0,53,440
46,1176,8,8,0,17,0,59,477
47,933,0,0,3,0,0,9,340
48,902,3,3,3,6,0,36,282
49,1090,0,0,3,23,0,70,310
50,935,0,0,0,0,0,12,304
51,1125,0,0,0,0,0,9,315
52,802,0,0,0,0,0,63,222
